Run,GPU,Split,Energy,CO2eq,Time,Distance
1,A100-40GB,domain,0.3,116.08,00:57:31,1.08
1,A100-40GB,task,0.08,31.12,00:15:31,0.29
1,A100-40GB,website,0.07,25.58,00:12:52,0.24
2,A100-40GB,domain,0.3,113.65,00:56:25,1.06
2,A100-40GB,task,0.08,31.42,00:16:03,0.29
2,A100-40GB,website,0.06,24.65,00:12:35,0.23
3,A100-40GB,domain,0.3,115.1,00:59:39,1.07
3,A100-40GB,task,0.09,35.64,00:17:10,0.33
3,A100-40GB,website,0.07,25.45,00:12:06,0.24
4,A100-40GB,domain,0.32,122.05,00:57:38,1.14
4,A100-40GB,task,0.09,32.84,00:17:12,0.31
4,A100-40GB,website,0.07,25.95,00:13:32,0.24
5,A100-40GB,domain,0.32,122.9,01:02:20,1.14
5,A100-40GB,task,0.1,36.27,00:18:40,0.34
5,A100-40GB,website,0.06,24.68,00:12:29,0.23
1,A100-PCI,domain,0.33,126.67,00:58:29,1.18
1,A100-PCI,task,0.09,34.51,00:16:28,0.32
1,A100-PCI,website,0.07,26.75,00:12:39,0.25
2,A100-PCI,domain,0.31,117.74,00:56:47,1.1
2,A100-PCI,task,0.1,37.08,00:17:04,0.34
2,A100-PCI,website,0.07,26.44,00:13:11,0.25
3,A100-PCI,domain,0.31,119.37,00:59:31,1.11
3,A100-PCI,task,0.09,34.34,00:16:40,0.32
3,A100-PCI,website,0.07,27.13,00:13:23,0.25
4,A100-PCI,domain,0.31,116.79,01:00:47,1.09
4,A100-PCI,task,0.1,36.87,00:17:51,0.34
4,A100-PCI,website,0.06,24.16,00:11:16,0.22
5,A100-PCI,domain,0.31,118.16,00:57:37,1.1
5,A100-PCI,task,0.09,34.5,00:17:35,0.32
5,A100-PCI,website,0.07,24.93,00:12:41,0.23
1,H100,domain,0.25,94.02,00:31:35,0.87
1,H100,task,0.07,27.25,00:08:59,0.25
1,H100,website,0.04,16.93,00:05:45,0.16
2,H100,domain,0.23,87.38,00:28:42,0.81
2,H100,task,0.08,28.81,00:09:19,0.27
2,H100,website,0.05,18.56,00:06:10,0.17
3,H100,domain,0.25,95.92,00:30:18,0.89
3,H100,task,0.06,23.22,00:07:36,0.22
3,H100,website,0.05,18.24,00:06:05,0.17
4,H100,domain,0.23,87.84,00:29:28,0.82
4,H100,task,0.07,25.37,00:08:23,0.24
4,H100,website,0.05,20.13,00:06:33,0.19
5,H100,domain,0.25,95.32,00:30:28,0.89
5,H100,task,0.08,28.8,00:08:58,0.27
5,H100,website,0.05,19.02,00:06:25,0.18
1,H100-PCI,domain,0.22,84.22,00:38:10,0.78
1,H100-PCI,task,0.06,24.57,00:11:07,0.23
1,H100-PCI,website,0.05,18.07,00:08:21,0.17
2,H100-PCI,domain,0.21,80.75,00:36:46,0.75
2,H100-PCI,task,0.06,22.72,00:10:18,0.21
2,H100-PCI,website,0.05,20.11,00:09:02,0.19
3,H100-PCI,domain,0.22,85.12,00:38:13,0.79
3,H100-PCI,task,0.07,25.75,00:11:30,0.24
3,H100-PCI,website,0.05,17.63,00:08:02,0.16
4,H100-PCI,domain,0.23,86.95,00:38:01,0.81
4,H100-PCI,task,0.06,24.39,00:11:02,0.23
4,H100-PCI,website,0.05,18.66,00:08:23,0.17
5,H100-PCI,domain,0.22,83.26,00:38:01,0.77
5,H100-PCI,task,0.06,23.55,00:10:52,0.22
5,H100-PCI,website,0.04,16.62,00:07:22,0.15
1,H200,domain,0.22,85.36,00:28:47,0.79
1,H200,task,0.06,23.96,00:07:57,0.22
1,H200,website,0.05,19.69,00:06:30,0.18
2,H200,domain,0.25,94.84,00:31:22,0.88
2,H200,task,0.07,25.14,00:08:37,0.23
2,H200,website,0.05,19.29,00:06:28,0.18
3,H200,domain,0.23,86.93,00:28:50,0.81
3,H200,task,0.07,24.99,00:08:44,0.23
3,H200,website,0.05,17.26,00:06:02,0.16
4,H200,domain,0.23,87.12,00:28:59,0.81
4,H200,task,0.07,26.5,00:09:02,0.25
4,H200,website,0.05,19.88,00:06:43,0.18
5,H200,domain,0.23,89.31,00:30:30,0.83
5,H200,task,0.06,23.12,00:07:45,0.22
5,H200,website,0.05,18.49,00:06:27,0.17
1,L40S,domain,0.38,146.52,00:55:08,1.36
1,L40S,task,0.12,46.53,00:15:59,0.43
1,L40S,website,0.09,33.98,00:12:39,0.32
2,L40S,domain,0.4,153.22,00:54:12,1.43
2,L40S,task,0.1,39.2,00:13:49,0.36
2,L40S,website,0.08,28.93,00:10:14,0.27
3,L40S,domain,0.39,149.9,00:53:11,1.39
3,L40S,task,0.11,42.88,00:15:28,0.4
3,L40S,website,0.08,28.91,00:10:52,0.27
4,L40S,domain,0.38,145.02,00:53:15,1.35
4,L40S,task,0.11,40.61,00:14:56,0.38
4,L40S,website,0.08,30.57,00:10:32,0.28
5,L40S,domain,0.39,150.32,00:56:03,1.4
5,L40S,task,0.12,46.66,00:16:23,0.43
5,L40S,website,0.09,35.33,00:12:42,0.33
1,RTX 3090,domain,0.53,203.33,00:58:52,1.89
1,RTX 3090,task,0.16,59.68,00:17:09,0.56
1,RTX 3090,website,0.12,44.98,00:12:56,0.42
2,RTX 3090,domain,0.57,217.62,01:05:28,2.02
2,RTX 3090,task,0.15,55.65,00:16:05,0.52
2,RTX 3090,website,0.11,42.14,00:12:33,0.39
3,RTX 3090,domain,0.55,209.3,01:00:21,1.95
3,RTX 3090,task,0.15,56.0,00:16:14,0.52
3,RTX 3090,website,0.09,35.07,00:12:40,0.33
4,RTX 3090,domain,0.55,209.09,01:00:17,1.95
4,RTX 3090,task,0.16,62.15,00:17:57,0.58
4,RTX 3090,website,0.14,51.59,00:14:53,0.48
5,RTX 3090,domain,0.46,175.55,01:02:36,1.63
5,RTX 3090,task,0.15,58.88,00:16:59,0.55
5,RTX 3090,website,0.11,42.68,00:13:02,0.4
1,RTXA6000,domain,0.48,182.51,01:11:27,1.7
1,RTXA6000,task,0.15,57.6,00:19:19,0.54
1,RTXA6000,website,0.11,41.55,00:16:01,0.39
2,RTXA6000,domain,0.54,204.01,01:08:32,1.9
2,RTXA6000,task,0.15,58.28,00:19:33,0.54
2,RTXA6000,website,0.1,39.25,00:15:12,0.37
3,RTXA6000,domain,0.54,204.46,01:08:34,1.9
3,RTXA6000,task,0.13,51.03,00:19:15,0.47
3,RTXA6000,website,0.1,38.01,00:15:18,0.35
4,RTXA6000,domain,0.52,199.0,01:07:06,1.85
4,RTXA6000,task,0.14,53.39,00:19:51,0.5
4,RTXA6000,website,0.1,39.92,00:13:39,0.37
5,RTXA6000,domain,0.5,192.21,01:05:02,1.79
5,RTXA6000,task,0.14,52.34,00:20:19,0.49
5,RTXA6000,website,0.1,37.87,00:14:07,0.35
1,V100-32GB,domain,0.36,138.3,01:23:04,1.29
1,V100-32GB,task,0.11,42.18,00:26:11,0.39
1,V100-32GB,website,0.07,27.25,00:16:26,0.25
2,V100-32GB,domain,0.36,138.82,01:23:06,1.29
2,V100-32GB,task,0.11,40.02,00:24:08,0.37
2,V100-32GB,website,0.08,30.0,00:17:57,0.28
3,V100-32GB,domain,0.44,168.06,01:51:33,1.56
3,V100-32GB,task,0.11,41.66,00:25:31,0.39
3,V100-32GB,website,0.07,28.5,00:16:35,0.27
4,V100-32GB,domain,0.37,141.59,01:29:11,1.32
4,V100-32GB,task,0.09,35.69,00:22:18,0.33
4,V100-32GB,website,0.08,29.4,00:17:34,0.27
5,V100-32GB,domain,0.38,146.4,01:30:28,1.36
5,V100-32GB,task,0.1,39.92,00:25:39,0.37
5,V100-32GB,website,0.07,28.54,00:16:51,0.27
