Run,GPU,Split,Energy,CO2eq,Time,Distance
1,A100-PCI,domain,0.73,279.2,02:19:13,2.6
1,A100-PCI,task,0.26,100.32,00:47:41,0.93
1,A100-PCI,website,0.16,62.66,00:32:10,0.58
2,A100-PCI,domain,0.74,280.98,02:14:49,2.61
2,A100-PCI,task,0.27,102.96,00:48:56,0.96
2,A100-PCI,website,0.18,68.23,00:33:30,0.63
3,A100-PCI,domain,0.76,288.96,02:17:18,2.69
3,A100-PCI,task,0.26,100.04,00:48:59,0.93
3,A100-PCI,website,0.17,65.92,00:31:57,0.61
4,A100-PCI,domain,0.74,281.96,02:20:40,2.62
4,A100-PCI,task,0.27,102.12,00:48:30,0.95
4,A100-PCI,website,0.17,64.58,00:30:39,0.6
5,A100-PCI,domain,0.75,286.13,02:16:30,2.66
5,A100-PCI,task,0.28,104.94,00:46:54,0.98
5,A100-PCI,website,0.18,67.84,00:31:48,0.63
1,H100,domain,0.62,235.75,01:12:23,2.19
1,H100,task,0.2,76.75,00:24:10,0.71
1,H100,website,0.13,51.19,00:16:12,0.48
2,H100,domain,0.56,214.37,01:07:31,1.99
2,H100,task,0.21,78.43,00:24:46,0.73
2,H100,website,0.14,51.58,00:15:51,0.48
3,H100,domain,0.58,222.1,01:11:04,2.07
3,H100,task,0.2,78.09,00:24:33,0.73
3,H100,website,0.14,53.48,00:17:10,0.5
4,H100,domain,0.59,225.33,01:12:28,2.1
4,H100,task,0.2,76.95,00:24:22,0.72
4,H100,website,0.14,51.56,00:16:10,0.48
5,H100,domain,0.59,223.9,01:18:09,2.08
5,H100,task,0.22,83.72,00:25:27,0.78
5,H100,website,0.13,51.3,00:17:07,0.48
1,H100-PCI,domain,0.51,195.79,01:21:37,1.82
1,H100-PCI,task,0.18,69.57,00:28:38,0.65
1,H100-PCI,website,0.12,46.05,00:19:00,0.43
2,H100-PCI,domain,0.51,195.12,01:21:01,1.82
2,H100-PCI,task,0.18,69.51,00:28:49,0.65
2,H100-PCI,website,0.12,46.0,00:18:58,0.43
3,H100-PCI,domain,0.52,196.78,01:21:32,1.83
3,H100-PCI,task,0.19,71.86,00:29:15,0.67
3,H100-PCI,website,0.12,46.01,00:19:10,0.43
4,H100-PCI,domain,0.53,200.72,01:23:16,1.87
4,H100-PCI,task,0.18,69.77,00:29:01,0.65
4,H100-PCI,website,0.13,48.13,00:19:42,0.45
5,H100-PCI,domain,0.52,197.67,01:21:25,1.84
5,H100-PCI,task,0.18,69.93,00:28:58,0.65
5,H100-PCI,website,0.12,46.03,00:19:03,0.43
1,H200,domain,0.55,208.54,01:06:24,1.94
1,H200,task,0.2,76.46,00:25:09,0.71
1,H200,website,0.14,52.77,00:16:26,0.49
2,H200,domain,0.55,211.31,01:06:17,1.97
2,H200,task,0.2,76.82,00:23:46,0.71
2,H200,website,0.13,49.41,00:15:45,0.46
3,H200,domain,0.56,211.92,01:07:12,1.97
3,H200,task,0.2,77.86,00:25:36,0.72
3,H200,website,0.13,51.14,00:16:46,0.48
4,H200,domain,0.56,213.35,01:07:43,1.98
4,H200,task,0.2,76.71,00:23:42,0.71
4,H200,website,0.13,49.99,00:15:51,0.46
5,H200,domain,0.57,215.39,01:06:38,2.0
5,H200,task,0.2,75.88,00:23:42,0.71
5,H200,website,0.13,49.02,00:15:47,0.46
1,L40S,domain,0.94,358.37,02:10:47,3.33
1,L40S,task,0.34,129.74,00:47:05,1.21
1,L40S,website,0.22,84.54,00:30:54,0.79
2,L40S,domain,0.97,369.18,02:11:14,3.43
2,L40S,task,0.34,129.17,00:46:50,1.2
2,L40S,website,0.23,85.79,00:30:52,0.8
3,L40S,domain,0.99,376.01,02:10:38,3.5
3,L40S,task,0.33,125.61,00:46:51,1.17
3,L40S,website,0.22,84.56,00:30:46,0.79
4,L40S,domain,0.94,358.86,02:11:15,3.34
4,L40S,task,0.33,125.55,00:46:47,1.17
4,L40S,website,0.22,82.44,00:30:44,0.77
5,L40S,domain,0.99,376.14,02:10:52,3.5
5,L40S,task,0.34,129.21,00:46:41,1.2
5,L40S,website,0.22,84.51,00:30:39,0.79
1,RTX 3090,domain,1.29,490.87,02:22:05,4.57
1,RTX 3090,task,0.45,170.33,00:49:40,1.58
1,RTX 3090,website,0.3,113.09,00:32:47,1.05
2,RTX 3090,domain,1.27,482.8,02:19:45,4.49
2,RTX 3090,task,0.46,174.57,00:50:41,1.62
2,RTX 3090,website,0.3,113.98,00:33:08,1.06
3,RTX 3090,domain,1.26,481.51,02:21:18,4.48
3,RTX 3090,task,0.46,174.42,00:50:34,1.62
3,RTX 3090,website,0.26,97.47,00:34:22,0.91
4,RTX 3090,domain,1.25,476.0,02:18:04,4.43
4,RTX 3090,task,0.42,159.88,00:48:39,1.49
4,RTX 3090,website,0.29,109.03,00:31:49,1.01
5,RTX 3090,domain,1.24,470.65,02:16:28,4.38
5,RTX 3090,task,0.45,172.77,00:50:26,1.61
5,RTX 3090,website,0.3,114.77,00:33:20,1.07
1,RTXA6000,domain,1.2,458.14,02:54:23,4.26
1,RTXA6000,task,0.46,175.14,00:59:24,1.63
1,RTXA6000,website,0.3,114.36,00:38:49,1.06
2,RTXA6000,domain,1.22,463.14,02:54:14,4.31
2,RTXA6000,task,0.46,174.75,00:59:34,1.63
2,RTXA6000,website,0.3,113.99,00:38:48,1.06
3,RTXA6000,domain,1.19,454.76,02:53:35,4.23
3,RTXA6000,task,0.46,173.81,00:59:31,1.62
3,RTXA6000,website,0.3,113.02,00:38:33,1.05
4,RTXA6000,domain,1.29,492.54,02:47:15,4.58
4,RTXA6000,task,0.46,174.21,00:59:19,1.62
4,RTXA6000,website,0.3,114.27,00:38:49,1.06
5,RTXA6000,domain,1.28,488.79,02:46:38,4.55
5,RTXA6000,task,0.46,174.28,00:59:16,1.62
5,RTXA6000,website,0.3,113.37,00:38:34,1.05
1,V100-32GB,domain,0.01,4.04,00:06:29,0.04
1,V100-32GB,task,0.0,1.7,00:02:39,0.02
1,V100-32GB,website,0.0,0.97,00:01:27,0.01
2,V100-32GB,domain,0.01,5.1,00:08:13,0.05
2,V100-32GB,task,0.0,1.49,00:02:16,0.01
2,V100-32GB,website,0.0,1.37,00:02:09,0.01
3,V100-32GB,domain,0.01,4.76,00:07:24,0.04
3,V100-32GB,task,0.0,1.78,00:02:41,0.02
3,V100-32GB,website,0.0,1.03,00:01:33,0.01
4,V100-32GB,domain,0.01,5.17,00:08:23,0.05
4,V100-32GB,task,0.01,1.97,00:03:01,0.02
4,V100-32GB,website,0.0,0.95,00:01:31,0.01
5,V100-32GB,domain,0.01,4.88,00:07:30,0.05
5,V100-32GB,task,0.0,1.51,00:02:19,0.01
5,V100-32GB,website,0.0,0.97,00:01:31,0.01
