Run,GPU,Split,Energy,CO2eq,Time,Distance
1,A100-40GB,domain,1.56,593.55,06:05:06,5.52
1,A100-40GB,task,0.63,240.96,02:22:55,2.24
1,A100-40GB,website,0.37,141.75,01:23:53,1.32
2,A100-40GB,domain,1.58,603.51,06:00:53,5.61
2,A100-40GB,task,0.63,238.48,02:25:32,2.22
2,A100-40GB,website,0.38,142.92,01:23:30,1.33
3,A100-40GB,domain,1.6,608.92,06:15:39,5.66
3,A100-40GB,task,0.65,246.01,02:21:13,2.29
3,A100-40GB,website,0.39,149.49,01:23:41,1.39
4,A100-40GB,domain,1.62,618.26,06:03:51,5.75
4,A100-40GB,task,0.66,252.44,02:18:01,2.35
4,A100-40GB,website,0.37,141.32,01:25:22,1.31
5,A100-40GB,domain,1.69,642.81,06:02:07,5.98
5,A100-40GB,task,0.63,240.59,02:24:36,2.24
5,A100-40GB,website,0.36,137.85,01:25:02,1.28
1,A100-PCI,domain,1.5,572.79,05:59:30,5.33
1,A100-PCI,task,0.57,216.28,02:24:54,2.01
1,A100-PCI,website,0.36,136.2,01:27:35,1.27
2,A100-PCI,domain,1.61,614.29,06:23:47,5.71
2,A100-PCI,task,0.59,225.89,02:24:38,2.1
2,A100-PCI,website,0.35,134.5,01:29:31,1.25
3,A100-PCI,domain,1.59,607.01,06:18:16,5.65
3,A100-PCI,task,0.6,229.55,02:29:36,2.14
3,A100-PCI,website,0.36,135.79,01:27:33,1.26
4,A100-PCI,domain,1.5,570.01,06:04:41,5.3
4,A100-PCI,task,0.57,216.58,02:16:55,2.01
4,A100-PCI,website,0.35,134.98,01:27:28,1.26
5,A100-PCI,domain,1.5,571.92,06:19:58,5.32
5,A100-PCI,task,0.62,235.08,02:24:46,2.19
5,A100-PCI,website,0.35,132.15,01:28:41,1.23
1,H100,domain,1.16,441.69,02:50:52,4.11
1,H100,task,0.47,178.01,01:06:40,1.66
1,H100,website,0.27,103.34,00:39:45,0.96
2,H100,domain,1.19,452.11,02:51:25,4.21
2,H100,task,0.45,172.01,01:06:05,1.6
2,H100,website,0.27,102.47,00:39:42,0.95
3,H100,domain,1.15,437.92,02:50:58,4.07
3,H100,task,0.46,174.89,01:07:19,1.63
3,H100,website,0.28,106.03,00:39:59,0.99
4,H100,domain,1.16,442.18,02:50:05,4.11
4,H100,task,0.46,176.73,01:05:43,1.64
4,H100,website,0.27,101.93,00:39:18,0.95
5,H100,domain,1.2,459.04,02:53:17,4.27
5,H100,task,0.45,171.85,01:06:15,1.6
5,H100,website,0.27,103.05,00:39:38,0.96
1,H100-PCI,domain,1.09,414.32,03:38:32,3.85
1,H100-PCI,task,0.42,159.67,01:23:56,1.49
1,H100-PCI,website,0.26,97.36,00:51:15,0.91
2,H100-PCI,domain,1.07,407.41,03:42:47,3.79
2,H100-PCI,task,0.43,163.14,01:25:40,1.52
2,H100-PCI,website,0.25,95.22,00:50:28,0.89
3,H100-PCI,domain,1.07,408.2,03:38:58,3.8
3,H100-PCI,task,0.42,161.24,01:25:13,1.5
3,H100-PCI,website,0.25,94.53,00:50:04,0.88
4,H100-PCI,domain,1.07,408.6,03:43:01,3.8
4,H100-PCI,task,0.42,161.65,01:26:06,1.5
4,H100-PCI,website,0.25,93.38,00:50:32,0.87
5,H100-PCI,domain,1.04,396.48,03:38:14,3.69
5,H100-PCI,task,0.42,159.11,01:25:22,1.48
5,H100-PCI,website,0.25,96.65,00:51:26,0.9
1,H200,domain,1.11,422.32,02:51:23,3.93
1,H200,task,0.44,166.16,01:06:47,1.55
1,H200,website,0.26,100.59,00:39:21,0.94
2,H200,domain,1.13,428.79,02:48:25,3.99
2,H200,task,0.44,169.32,01:05:45,1.58
2,H200,website,0.26,100.27,00:39:08,0.93
3,H200,domain,1.12,426.32,02:48:54,3.97
3,H200,task,0.44,169.27,01:05:44,1.57
3,H200,website,0.26,100.47,00:39:21,0.93
4,H200,domain,1.17,445.83,02:54:14,4.15
4,H200,task,0.45,173.18,01:05:33,1.61
4,H200,website,0.26,99.72,00:39:21,0.93
5,H200,domain,1.13,431.18,02:51:34,4.01
5,H200,task,0.42,160.3,01:05:57,1.49
5,H200,website,0.27,102.91,00:39:35,0.96
1,L40S,domain,1.57,597.38,03:38:45,5.56
