Run,GPU,Split,Energy,CO2eq,Time,Distance
1,A100-40GB,domain,2.95,1122.96,07:04:41,10.45
1,A100-40GB,task,1.0,379.24,02:25:44,3.53
1,A100-40GB,website,0.68,260.71,01:38:05,2.43
2,A100-40GB,domain,2.86,1088.51,07:02:49,10.13
2,A100-40GB,task,1.02,389.33,02:25:49,3.62
2,A100-40GB,website,0.68,259.55,01:37:16,2.41
3,A100-40GB,domain,2.68,1020.27,07:02:57,9.49
3,A100-40GB,task,0.99,378.34,02:26:11,3.52
3,A100-40GB,website,0.68,258.67,01:37:16,2.41
4,A100-40GB,domain,2.85,1086.13,07:04:05,10.1
4,A100-40GB,task,1.02,388.85,02:26:08,3.62
4,A100-40GB,website,0.66,250.92,01:37:18,2.33
5,A100-40GB,domain,2.89,1100.53,07:08:38,10.24
5,A100-40GB,task,0.99,376.6,02:25:33,3.5
5,A100-40GB,website,0.68,257.44,01:37:26,2.39
1,A100-PCI,domain,2.78,1057.95,07:11:51,9.84
1,A100-PCI,task,0.97,369.16,02:29:53,3.43
1,A100-PCI,website,0.64,245.01,01:39:37,2.28
2,A100-PCI,domain,2.82,1074.55,07:17:55,10.0
2,A100-PCI,task,0.93,352.81,02:28:31,3.28
2,A100-PCI,website,0.64,244.65,01:38:53,2.28
3,A100-PCI,domain,2.7,1030.45,07:14:41,9.59
3,A100-PCI,task,0.94,357.45,02:28:51,3.33
3,A100-PCI,website,0.64,245.22,01:38:58,2.28
4,A100-PCI,domain,2.74,1042.77,07:12:52,9.7
4,A100-PCI,task,0.92,352.25,02:28:04,3.28
4,A100-PCI,website,0.64,242.09,01:38:48,2.25
5,A100-PCI,domain,2.82,1073.26,07:15:04,9.98
5,A100-PCI,task,0.97,370.45,02:29:40,3.45
5,A100-PCI,website,0.63,241.81,01:39:00,2.25
1,H100,domain,2.57,979.99,04:18:49,9.12
1,H100,task,0.83,316.98,01:29:50,2.95
1,H100,website,0.56,214.29,00:59:14,1.99
2,H100,domain,2.45,933.83,04:18:42,8.69
2,H100,task,0.86,326.38,01:29:36,3.04
2,H100,website,0.56,214.5,00:59:33,2.0
3,H100,domain,2.49,948.65,04:19:39,8.82
3,H100,task,0.86,329.39,01:29:55,3.06
3,H100,website,0.56,213.77,00:59:29,1.99
4,H100,domain,2.49,949.14,04:19:21,8.83
4,H100,task,0.87,329.88,01:29:32,3.07
4,H100,website,0.56,214.52,00:59:26,2.0
5,H100,domain,2.4,914.59,04:21:36,8.51
5,H100,task,0.84,321.21,01:28:31,2.99
5,H100,website,0.55,209.51,00:59:24,1.95
1,H100-PCI,domain,2.08,791.93,04:29:10,7.37
1,H100-PCI,task,0.71,269.25,01:32:26,2.5
1,H100-PCI,website,0.47,179.69,01:03:33,1.67
2,H100-PCI,domain,2.09,796.34,04:32:15,7.41
2,H100-PCI,task,0.72,274.73,01:33:20,2.56
2,H100-PCI,website,0.48,181.95,01:02:11,1.69
3,H100-PCI,domain,2.11,802.77,04:31:26,7.47
3,H100-PCI,task,0.72,275.21,01:32:19,2.56
3,H100-PCI,website,0.48,182.26,01:01:33,1.7
4,H100-PCI,domain,2.11,802.97,04:30:12,7.47
4,H100-PCI,task,0.73,276.73,01:33:45,2.57
4,H100-PCI,website,0.48,182.94,01:01:57,1.7
5,H100-PCI,domain,2.15,817.79,04:32:22,7.61
5,H100-PCI,task,0.73,278.15,01:33:54,2.59
5,H100-PCI,website,0.48,182.48,01:01:52,1.7
1,H200,domain,2.46,936.75,03:57:29,8.71
1,H200,task,0.81,309.52,01:19:59,2.88
1,H200,website,0.54,205.26,00:54:20,1.91
2,H200,domain,2.37,901.77,03:54:35,8.39
2,H200,task,0.82,311.41,01:19:56,2.9
2,H200,website,0.54,207.2,00:53:42,1.93
3,H200,domain,2.41,918.53,03:54:11,8.54
3,H200,task,0.83,315.01,01:20:00,2.93
3,H200,website,0.56,213.06,00:53:46,1.98
4,H200,domain,2.31,879.83,03:53:17,8.18
4,H200,task,0.81,310.21,01:20:20,2.89
4,H200,website,0.55,208.53,00:53:59,1.94
5,H200,domain,2.36,898.67,03:54:56,8.36
5,H200,task,0.8,305.82,01:20:52,2.84
5,H200,website,0.51,195.43,00:53:41,1.82
1,L40S,domain,3.92,1492.84,09:35:04,13.89
1,L40S,task,1.42,539.81,03:17:50,5.02
1,L40S,website,0.94,358.64,02:12:41,3.34
2,L40S,domain,4.04,1539.92,09:36:15,14.32
2,L40S,task,1.42,541.69,03:17:47,5.04
2,L40S,website,0.95,360.39,02:12:14,3.35
3,L40S,domain,3.95,1506.45,09:35:56,14.01
3,L40S,task,1.32,502.96,03:17:40,4.68
3,L40S,website,0.94,358.68,02:11:45,3.34
4,L40S,domain,4.05,1543.92,09:35:30,14.36
4,L40S,task,1.32,503.3,03:17:30,4.68
4,L40S,website,0.95,363.03,02:11:47,3.38
5,L40S,domain,4.16,1583.35,09:35:12,14.73
5,L40S,task,1.41,537.26,03:18:01,5.0
5,L40S,website,0.88,334.22,02:12:36,3.11
1,RTXA6000,domain,5.6,2134.8,11:58:18,19.86
1,RTXA6000,task,1.8,686.5,04:20:32,6.39
1,RTXA6000,website,1.29,491.53,02:46:31,4.57
2,RTXA6000,domain,5.62,2139.38,11:56:12,19.9
2,RTXA6000,task,1.95,744.35,04:09:14,6.92
2,RTXA6000,website,1.2,457.23,02:54:46,4.25
3,RTXA6000,domain,5.61,2136.36,11:58:50,19.87
3,RTXA6000,task,1.95,743.1,04:09:04,6.91
3,RTXA6000,website,1.24,471.68,02:53:33,4.39
4,RTXA6000,domain,5.54,2108.91,12:02:11,19.62
4,RTXA6000,task,1.89,719.56,04:07:48,6.69
4,RTXA6000,website,1.2,458.09,02:53:21,4.26
5,RTXA6000,domain,5.68,2162.3,12:03:31,20.11
5,RTXA6000,task,1.75,667.37,04:14:34,6.21
5,RTXA6000,website,1.3,493.94,02:45:52,4.59
