Run,GPU,Component,Split,Energy,CO2eq,Time,Distance
1,A100-40GB,cand_gen,domain,0.86,327.07,03:32:01,3.04
1,A100-40GB,cand_gen,task,0.43,162.63,01:57:55,1.51
1,A100-40GB,cand_gen,website,0.24,90.59,01:00:58,0.84
2,A100-40GB,cand_gen,domain,0.85,322.23,03:28:27,3.0
2,A100-40GB,cand_gen,task,0.42,161.13,01:56:51,1.5
2,A100-40GB,cand_gen,website,0.25,95.92,01:01:13,0.89
3,A100-40GB,cand_gen,domain,0.89,337.56,03:27:15,3.14
3,A100-40GB,cand_gen,task,0.43,163.45,01:54:28,1.52
3,A100-40GB,cand_gen,website,0.24,90.99,00:58:30,0.85
4,A100-40GB,cand_gen,domain,0.88,334.24,03:31:45,3.11
4,A100-40GB,cand_gen,task,0.44,166.39,02:00:54,1.55
4,A100-40GB,cand_gen,website,0.25,93.97,01:00:02,0.87
5,A100-40GB,cand_gen,domain,0.86,327.79,03:26:48,3.05
5,A100-40GB,cand_gen,task,0.42,158.72,01:57:20,1.48
5,A100-40GB,cand_gen,website,0.24,91.2,00:59:52,0.85
6,A100-40GB,cand_gen,domain,0.84,320.93,03:33:19,2.99
6,A100-40GB,cand_gen,task,0.44,167.37,01:57:58,1.56
6,A100-40GB,cand_gen,website,0.24,93.01,01:00:20,0.87
7,A100-40GB,cand_gen,domain,0.85,325.58,03:29:23,3.03
7,A100-40GB,cand_gen,task,0.41,155.05,01:54:21,1.44
7,A100-40GB,cand_gen,website,0.23,86.98,00:56:20,0.81
8,A100-40GB,cand_gen,domain,0.86,326.6,03:19:35,3.04
8,A100-40GB,cand_gen,task,0.42,160.58,01:51:28,1.49
8,A100-40GB,cand_gen,website,0.24,91.13,00:57:18,0.85
9,A100-40GB,cand_gen,domain,0.88,333.67,03:19:15,3.1
9,A100-40GB,cand_gen,task,0.45,171.76,02:08:30,1.6
9,A100-40GB,cand_gen,website,0.23,86.05,00:56:04,0.8
10,A100-40GB,cand_gen,domain,0.83,316.86,03:19:15,2.95
10,A100-40GB,cand_gen,task,0.44,166.39,02:03:35,1.55
10,A100-40GB,cand_gen,website,0.24,90.45,00:57:03,0.84
1,A100-PCI,cand_gen,domain,0.62,235.58,03:29:16,2.19
1,A100-PCI,cand_gen,task,0.3,113.49,01:50:35,1.06
1,A100-PCI,cand_gen,website,0.16,62.77,00:55:33,0.58
2,A100-PCI,cand_gen,domain,0.62,236.0,03:29:16,2.2
2,A100-PCI,cand_gen,task,0.3,112.85,01:52:24,1.05
2,A100-PCI,cand_gen,website,0.17,64.29,00:58:15,0.6
3,A100-PCI,cand_gen,domain,0.61,231.74,03:27:23,2.16
3,A100-PCI,cand_gen,task,0.29,112.21,01:53:36,1.04
3,A100-PCI,cand_gen,website,0.17,62.98,00:52:12,0.59
